DemuxThread::DemuxThread() - DemuxThread
DemuxThread::Init() - url:time.mp4
DemuxThread::Init() - audio_index_:1, video_index_:0
DemuxThread::Init() - Init leave
DemuxThread::Run() - Run into
DecodeThread::Init() - Init finish
DecodeThread::Run() - DecodeThread::Run info
DecodeThread::Init() - Init finish
DecodeThread::Run() - DecodeThread::Run info
AudioOutput::Init() - AudioOutput::Init() leave
fill_audio_pcm() - audio pts:0.000

fill_audio_pcm() - audio pts:0.064

fill_audio_pcm() - audio pts:0.128

fill_audio_pcm() - audio pts:0.192

fill_audio_pcm() - audio pts:0.256

fill_audio_pcm() - audio pts:0.320

fill_audio_pcm() - audio pts:0.384

fill_audio_pcm() - audio pts:0.448

fill_audio_pcm() - audio pts:0.512

fill_audio_pcm() - audio pts:0.576

fill_audio_pcm() - audio pts:0.640

fill_audio_pcm() - audio pts:0.704

fill_audio_pcm() - audio pts:0.768

fill_audio_pcm() - audio pts:0.832

fill_audio_pcm() - audio pts:0.896

fill_audio_pcm() - audio pts:0.960

fill_audio_pcm() - audio pts:1.024

VideoOutput::videoRefresh() - video pts:0.070

fill_audio_pcm() - audio pts:1.088

VideoOutput::videoRefresh() - video pts:0.110

VideoOutput::videoRefresh() - video pts:0.150

VideoOutput::videoRefresh() - video pts:0.190

VideoOutput::videoRefresh() - video pts:0.230

fill_audio_pcm() - audio pts:1.152

VideoOutput::videoRefresh() - video pts:0.270

VideoOutput::videoRefresh() - video pts:0.310

VideoOutput::videoRefresh() - video pts:0.350

fill_audio_pcm() - audio pts:1.216

VideoOutput::videoRefresh() - video pts:0.430

VideoOutput::videoRefresh() - video pts:0.470

VideoOutput::videoRefresh() - video pts:0.510

fill_audio_pcm() - audio pts:1.280

VideoOutput::videoRefresh() - video pts:0.590

VideoOutput::videoRefresh() - video pts:0.630

VideoOutput::videoRefresh() - video pts:0.710

VideoOutput::videoRefresh() - video pts:0.750

fill_audio_pcm() - audio pts:1.344

VideoOutput::videoRefresh() - video pts:0.790

VideoOutput::videoRefresh() - video pts:0.830

VideoOutput::videoRefresh() - video pts:0.870

VideoOutput::videoRefresh() - video pts:0.910

VideoOutput::videoRefresh() - video pts:0.950

VideoOutput::videoRefresh() - video pts:0.990

VideoOutput::videoRefresh() - video pts:1.030

fill_audio_pcm() - audio pts:1.408

VideoOutput::videoRefresh() - video pts:1.070

VideoOutput::videoRefresh() - video pts:1.110

VideoOutput::videoRefresh() - video pts:1.190

fill_audio_pcm() - audio pts:1.472

VideoOutput::videoRefresh() - video pts:1.230

VideoOutput::videoRefresh() - video pts:1.270

VideoOutput::videoRefresh() - video pts:1.310

VideoOutput::videoRefresh() - video pts:1.350

VideoOutput::videoRefresh() - video pts:1.430

VideoOutput::videoRefresh() - video pts:1.470

fill_audio_pcm() - audio pts:1.536

VideoOutput::videoRefresh() - video pts:1.510

VideoOutput::videoRefresh() - video pts:1.590

VideoOutput::videoRefresh() - video pts:1.590

fill_audio_pcm() - audio pts:1.600

VideoOutput::videoRefresh() - video pts:1.590

VideoOutput::videoRefresh() - video pts:1.630

VideoOutput::videoRefresh() - video pts:1.630

VideoOutput::videoRefresh() - video pts:1.630

VideoOutput::videoRefresh() - video pts:1.630

fill_audio_pcm() - audio pts:1.664

VideoOutput::videoRefresh() - video pts:1.630

VideoOutput::videoRefresh() - video pts:1.670

VideoOutput::videoRefresh() - video pts:1.710

VideoOutput::videoRefresh() - video pts:1.710

VideoOutput::videoRefresh() - video pts:1.710

VideoOutput::videoRefresh() - video pts:1.710

fill_audio_pcm() - audio pts:1.728

